"Date","Currency","Currency Pair","Buying","Selling","Mid Rate"
"25 May 2023","US Dollar","USDGHS","10.7747","10.7855","10.7801"
"24 May 2023","US Dollar","USDGHS","10.7720","10.7828","10.7774"
"23 May 2023","US Dollar","USDGHS","10.7720","10.7828","10.7774"
"22 May 2023","US Dollar","USDGHS","10.7824","10.7932","10.7878"
"19 May 2023","US Dollar","USDGHS","10.8074","10.8182","10.8128"
"18 May 2023","US Dollar","USDGHS","10.8289","10.8397","10.8343"
"17 May 2023","US Dollar","USDGHS","10.9365","10.9475","10.9420"
"16 May 2023","US Dollar","USDGHS","10.9538","10.9648","10.9593"
"15 May 2023","US Dollar","USDGHS","10.9580","10.9690","10.9635"
"12 May 2023","US Dollar","USDGHS","10.9590","10.9700","10.9645"
"11 May 2023","US Dollar","USDGHS","10.9593","10.9703","10.9648"
"10 May 2023","US Dollar","USDGHS","10.9543","10.9653","10.9598"
"09 May 2023","US Dollar","USDGHS","10.9493","10.9603","10.9548"
"08 May 2023","US Dollar","USDGHS","10.9493","10.9603","10.9548"
"05 May 2023","US Dollar","USDGHS","10.9463","10.9573","10.9518"
"04 May 2023","US Dollar","USDGHS","10.9463","10.9573","10.9518"
"03 May 2023","US Dollar","USDGHS","10.9460","10.9570","10.9515"
"02 May 2023","US Dollar","USDGHS","10.9461","10.9571","10.9516"
"28 Apr 2023","US Dollar","USDGHS","10.9461","10.9571","10.9516"
"27 Apr 2023","US Dollar","USDGHS","10.9463","10.9573","10.9518"
"26 Apr 2023","US Dollar","USDGHS","10.9466","10.9576","10.9521"
"25 Apr 2023","US Dollar","USDGHS","10.9436","10.9546","10.9491"
"21 Apr 2023","US Dollar","USDGHS","10.9386","10.9496","10.9441"
"20 Apr 2023","US Dollar","USDGHS","10.9388","10.9498","10.9443"
"19 Apr 2023","US Dollar","USDGHS","10.9378","10.9488","10.9433"
"18 Apr 2023","US Dollar","USDGHS","10.9373","10.9483","10.9428"
"17 Apr 2023","US Dollar","USDGHS","10.9363","10.9473","10.9418"
"14 Apr 2023","US Dollar","USDGHS","10.9343","10.9453","10.9398"
