Classification Name;Country Name;Data;SUM([Data])/1000;SUM([Data])/1000
China;Pakistan;2794763785,3;2794763,7853;2794763,7853
China;Kenya;1001592087,7;1001592,0877;1001592,0877
China;Angola;827317667,4;827317,6674;827317,6674
Japan;Pakistan;616468927,8;616468,9278;616468,9278
China;Lao PDR;529254917,8;529254,9178;529254,9178
China;Ethiopia;520279244,3;520279,2443;520279,2443
China;Zambia;480114410,9;480114,4109;480114,4109
China;Cameroon;451690652,4;451690,6524;451690,6524
Germany, Fed.Rep. Of;Pakistan;410768936;410768,936;410768,936
France;Cote d'Ivoire;354355270,4;354355,2704;354355,2704
China;Bangladesh;320671248,8;320671,2488;320671,2488
China;Cambodia;300868505,9;300868,5059;300868,5059
China;Nigeria;293775897,7;293775,8977;293775,8977
China;Mozambique;251205113,1;251205,1131;251205,1131
China;Uganda;250542206,1;250542,2061;250542,2061
France;Pakistan;242723422,5;242723,4225;242723,4225
Saudi Arabia;Pakistan;235617716,9;235617,7169;235617,7169
China;Myanmar;223503790,7;223503,7907;223503,7907
Japan;Uzbekistan;220435359,7;220435,3597;220435,3597
China;Congo, Dem. Rep.;217875237,9;217875,2379;217875,2379
China;Uzbekistan;217464644,4;217464,6444;217464,6444
China;Ghana;191719121,2;191719,1212;191719,1212
China;Tanzania;191023823,7;191023,8237;191023,8237
Japan;Bangladesh;180608599,3;180608,5993;180608,5993
China;Congo, Rep.;174782436,8;174782,4368;174782,4368
United States;Pakistan;168653404,7;168653,4047;168653,4047
India;Bhutan;154335239;154335,239;154335,239
China;Djibouti;140237444,9;140237,4449;140237,4449
Multiple Lenders;Bangladesh;133585500;133585,5;133585,5
Saudi Arabia;Yemen, Rep.;132644529,1;132644,5291;132644,5291
China;Cote d'Ivoire;129368085,5;129368,0855;129368,0855
Venezuela, Republic Bolivarian;Haiti;128121220,1;128121,2201;128121,2201
China;Kyrgyz Republic;123430136,1;123430,1361;123430,1361
Saudi Arabia;Mauritania;117732081,3;117732,0813;117732,0813
Russian Federation;Cambodia;114444000;114444;114444
France;Cameroon;113521908,1;113521,9081;113521,9081
China;Guinea;112764362,4;112764,3624;112764,3624
Germany, Fed.Rep. Of;Myanmar;111924603;111924,603;111924,603
China;Maldives;111103688,4;111103,6884;111103,6884
China;Mongolia;107057642,1;107057,6421;107057,6421
China;Tajikistan;105646909,2;105646,9092;105646,9092
Japan;Angola;104404341,6;104404,3416;104404,3416
Korea, Republic Of;Pakistan;98621166;98621,166;98621,166
France;Kenya;97791807,7;97791,8077;97791,8077
France;Senegal;96844410,7;96844,4107;96844,4107
China;Senegal;94818284,9;94818,2849;94818,2849
France;Myanmar;93101935,3;93101,9353;93101,9353
China;Papua New Guinea;92831875,7;92831,8757;92831,8757
Russian Federation;Bangladesh;89098000;89098;89098
Brazil;Mozambique;88232555,5;88232,5555;88232,5555
India;Bangladesh;86203767,8;86203,7678;86203,7678
Russian Federation;Yemen, Rep.;82719481,5;82719,4815;82719,4815
Japan;Myanmar;81992147,5;81992,1475;81992,1475
Japan;Kenya;78926325,6;78926,3256;78926,3256
Thailand;Lao PDR;72095526,5;72095,5265;72095,5265
United States;Kenya;71894857,1;71894,8571;71894,8571
India;Ghana;69342832,4;69342,8324;69342,8324
China;Togo;68681218,9;68681,2189;68681,2189
China;Mali;66273275,9;66273,2759;66273,2759
Australia;Papua New Guinea;64510193,6;64510,1936;64510,1936
Russian Federation;Afghanistan;63456333,3;63456,3333;63456,3333
Russian Federation;Lao PDR;61944750;61944,75;61944,75
South Africa;Angola;59470344,7;59470,3447;59470,3447
Portugal;Mozambique;56413787,2;56413,7872;56413,7872
Egypt;Ghana;53259722,2;53259,7222;53259,7222
Multiple Lenders;Congo, Dem. Rep.;51508000;51508;51508
India;Ethiopia;49192066,4;49192,0664;49192,0664
Japan;Mongolia;48338462,4;48338,4624;48338,4624
France;Nigeria;44930468,8;44930,4688;44930,4688
Japan;Tanzania;44796360,5;44796,3605;44796,3605
China;Mauritania;44264518;44264,518;44264,518
India;Tanzania;39498480,2;39498,4802;39498,4802
Libya;Chad;38983500;38983,5;38983,5
India;Zambia;38845040,8;38845,0408;38845,0408
Canada;Pakistan;37763264,7;37763,2647;37763,2647
India;Senegal;37758157;37758,157;37758,157
China;Nepal;36238367,6;36238,3676;36238,3676
Germany, Fed.Rep. Of;Kenya;35723959,7;35723,9597;35723,9597
China;Fiji;34841446,5;34841,4465;34841,4465
United States;Somalia;34222000;34222;34222
Portugal;Angola;33566583,3;33566,5833;33566,5833
China;Chad;32092833,8;32092,8338;32092,8338
India;Cote d'Ivoire;31589451;31589,451;31589,451
United Kingdom;Uganda;30478322,7;30478,3227;30478,3227
Canada;Angola;30378000;30378;30378
China;Niger;29705675;29705,675;29705,675
India;Mozambique;29238844,2;29238,8442;29238,8442
India;Myanmar;28223201,3;28223,2013;28223,2013
China;Benin;27059396,4;27059,3964;27059,3964
Italy;Ethiopia;27018173;27018,173;27018,173
Iraq;Mozambique;26791625;26791,625;26791,625
France;Ethiopia;26701902,7;26701,9027;26701,9027
Turkey;Senegal;26620131,2;26620,1312;26620,1312
Russian Federation;Pakistan;25730000;25730;25730
China;Guyana;25081547,3;25081,5473;25081,5473
France;Bangladesh;25044918,8;25044,9188;25044,9188
Sweden;Pakistan;24764338,7;24764,3387;24764,3387
Kuwait;Mauritania;24588359,4;24588,3594;24588,3594
Austria;Myanmar;23348775,5;23348,7755;23348,7755
China;Malawi;23254480;23254,48;23254,48
Russian Federation;Ethiopia;22432000;22432;22432
Portugal;Cabo Verde;22322676,9;22322,6769;22322,6769
France;Mali;22159802,7;22159,8027;22159,8027
Russian Federation;Zambia;21947774,5;21947,7745;21947,7745
Kuwait;Pakistan;21946658,5;21946,6585;21946,6585
China;Samoa;21464812;21464,812;21464,812
France;Guinea;21459193,5;21459,1935;21459,1935
Switzerland;Pakistan;21091572;21091,572;21091,572
Russian Federation;Mozambique;20979583,4;20979,5834;20979,5834
France;Congo, Rep.;20849229,7;20849,2297;20849,2297
Spain;Nicaragua;20809109,8;20809,1098;20809,1098
France;Mozambique;20396183,3;20396,1833;20396,1833
Belgium;Congo, Rep.;20175443,1;20175,4431;20175,4431
France;Ghana;19895536,3;19895,5363;19895,5363
Turkey;Congo, Rep.;19147999,9;19147,9999;19147,9999
South Africa;Zambia;18992368,4;18992,3684;18992,3684
India;Nepal;18947580,5;18947,5805;18947,5805
France;Burkina Faso;18706576,7;18706,5767;18706,5767
United States;Ghana;18540488,9;18540,4889;18540,4889
Japan;Cameroon;18432693,6;18432,6936;18432,6936
India;Nigeria;18148400;18148,4;18148,4
India;Mali;17871209,8;17871,2098;17871,2098
China;Tonga;17675637,5;17675,6375;17675,6375
India;Congo, Dem. Rep.;17334072;17334,072;17334,072
France;Cambodia;17117277,3;17117,2773;17117,2773
Brazil;Congo, Rep.;17020800;17020,8;17020,8
Korea, Republic Of;Angola;16874285,4;16874,2854;16874,2854
China;Rwanda;16780401;16780,401;16780,401
France;Uganda;16669563;16669,563;16669,563
Japan;Cambodia;16307712,5;16307,7125;16307,7125
Turkey;Cameroon;16160222,2;16160,2222;16160,2222
France;Niger;15943012,8;15943,0128;15943,0128
China;Vanuatu;15814440;15814,44;15814,44
Kuwait;Bangladesh;15739561,3;15739,5613;15739,5613
Turkey;Ghana;15641181,8;15641,1818;15641,1818
India;Mauritania;14797838,6;14797,8386;14797,8386
Angola;Guinea;14762894,7;14762,8947;14762,8947
Malaysia;Lao PDR;14660000;14660;14660
Japan;Nepal;14575793,2;14575,7932;14575,7932
Korea, Republic Of;Bangladesh;14178237,7;14178,2377;14178,2377
Libya;Mozambique;14097153,8;14097,1538;14097,1538
Kuwait;Senegal;14015522,3;14015,5223;14015,5223
United Kingdom;Zambia;13870717,9;13870,7179;13870,7179
Japan;Kyrgyz Republic;13856477,3;13856,4773;13856,4773
United States;Cameroon;13142818,6;13142,8186;13142,8186
France;Mauritania;13069671,5;13069,6715;13069,6715
Saudi Arabia;Bangladesh;12986198,2;12986,1982;12986,1982
Japan;Papua New Guinea;12969055,7;12969,0557;12969,0557
Saudi Arabia;Guinea;12320663,4;12320,6634;12320,6634
India;Cameroon;12301771,4;12301,7714;12301,7714
Multiple Lenders;Pakistan;11878944,4;11878,9444;11878,9444
China;Lesotho;11538893,3;11538,8933;11538,8933
Kuwait;Ethiopia;11526973,9;11526,9739;11526,9739
India;Kenya;11405511,9;11405,5119;11405,5119
Saudi Arabia;Senegal;10789765,9;10789,7659;10789,7659
Multiple Lenders;Honduras;10759407,8;10759,4078;10759,4078
Russian Federation;Uzbekistan;10674641,7;10674,6417;10674,6417
Japan;Yemen, Rep.;10535646,4;10535,6464;10535,6464
Saudi Arabia;Mali;10282268,8;10282,2688;10282,2688
Korea, Republic Of;Tanzania;10265758,6;10265,7586;10265,7586
France;Tanzania;10260056,9;10260,0569;10260,0569
Libya;Mauritania;10195333,3;10195,3333;10195,3333
Italy;Djibouti;10024811,5;10024,8115;10024,8115
France;Zambia;10020611,2;10020,6112;10020,6112
India;Malawi;9948553,6;9948,5536;9948,5536
Korea, Republic Of;Lao PDR;9800384;9800,384;9800,384
India;Chad;9684597,4;9684,5974;9684,5974
Netherlands;Pakistan;9573804,9;9573,8049;9573,8049
China;Yemen, Rep.;9519762,8;9519,7628;9519,7628
Spain;Kenya;9518203;9518,203;9518,203
Saudi Arabia;Uzbekistan;9500711,4;9500,7114;9500,7114
China;Gambia, The;9462095,6;9462,0956;9462,0956
Germany, Fed.Rep. Of;Ghana;9323901,5;9323,9015;9323,9015
Italy;Pakistan;8985725,7;8985,7257;8985,7257
India;Congo, Rep.;8852505,3;8852,5053;8852,5053
China;Burkina Faso;8810978;8810,978;8810,978
Kuwait;Djibouti;8639980,3;8639,9803;8639,9803
Saudi Arabia;Djibouti;8584042,3;8584,0423;8584,0423
Korea, Republic Of;Cambodia;8560880,4;8560,8804;8560,8804
Norway;Cameroon;8442091,5;8442,0915;8442,0915
Austria;Pakistan;8414765;8414,765;8414,765
Japan;Uganda;8413021,6;8413,0216;8413,0216
Turkey;Kyrgyz Republic;8291923,8;8291,9238;8291,9238
Russian Federation;Congo, Rep.;8245750;8245,75;8245,75
Spain;Honduras;8199451,2;8199,4512;8199,4512
China;Madagascar;8152964,4;8152,9644;8152,9644
China;Honduras;7839000;7839;7839
Germany, Fed.Rep. Of;Bangladesh;7818068,8;7818,0688;7818,0688
China;Sierra Leone;7804456,8;7804,4568;7804,4568
Norway;Pakistan;7791192,5;7791,1925;7791,1925
Japan;Lao PDR;7766029,7;7766,0297;7766,0297
Italy;Myanmar;7701302,5;7701,3025;7701,3025
Kuwait;Benin;7642048,8;7642,0488;7642,0488
Spain;Pakistan;7641333,3;7641,3333;7641,3333
Kuwait;Yemen, Rep.;7563856,7;7563,8567;7563,8567
Venezuela, Republic Bolivarian;Honduras;7533081,2;7533,0812;7533,0812
India;Niger;7513250,2;7513,2502;7513,2502
Turkey;Ethiopia;7448000;7448;7448
Korea, Republic Of;Ethiopia;7364364,6;7364,3646;7364,3646
Kuwait;Mali;7356658,1;7356,6581;7356,6581
Saudi Arabia;Ethiopia;7326015;7326,015;7326,015
Germany, Fed.Rep. Of;Uzbekistan;7208093,7;7208,0937;7208,0937
Japan;Mozambique;7175284,6;7175,2846;7175,2846
Saudi Arabia;Maldives;7080901,4;7080,9014;7080,9014
Kuwait;Guinea;7064647,7;7064,6477;7064,6477
Spain;Angola;7038685,8;7038,6858;7038,6858
France;Madagascar;6975545,2;6975,5452;6975,5452
Saudi Arabia;Tajikistan;6849136,2;6849,1362;6849,1362
France;Cabo Verde;6805556,1;6805,5561;6805,5561
Germany, Fed.Rep. Of;Kosovo;6763646,6;6763,6466;6763,6466
Kuwait;Uzbekistan;6722349,8;6722,3498;6722,3498
Belgium;Kenya;6692965,6;6692,9656;6692,9656
United States;Yemen, Rep.;6623953,8;6623,9538;6623,9538
India;Burundi;6599444,4;6599,4444;6599,4444
India;Central African Republic;6526933,3;6526,9333;6526,9333
