,Unnamed: 0,Country Name,Counterpart-Area Name,Series Name,Series Code,Year,Value
0,70,Ghana,African Dev. Bank         ,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2020,13831763.8
1,71,Ghana,African Dev. Bank         ,"Interest payments on external debt, other public sector (PPG) (INT, current US$)",DT.INT.DOPS.CD,2020,912459.0
2,81,Ghana,African Dev. Bank         ,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,2020,24876000.1
3,82,Ghana,African Dev. Bank         ,"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,2020,25788459.1
4,83,Ghana,African Dev. Bank         ,"Debt service on external debt, other public sector (PPG) (TDS, current US$)",DT.TDS.DOPS.CD,2020,912459.0
5,86,Ghana,African Dev. Bank         ,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,2020,25788459.1
6,87,Ghana,African Dev. Bank         ,"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,2020,25788459.1
7,88,Ghana,African Dev. Bank         ,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2020,25788459.1
8,93,Ghana,African Dev. Bank         ,"GG, multilateral (TDS, current US$)",DT.TDS.MLAT.GG.CD,2020,24876000.1
9,94,Ghana,African Dev. Bank         ,"GG, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.GG.CD,2020,24876000.1
10,95,Ghana,African Dev. Bank         ,"GG, official creditors (TDS, current US$)",DT.TDS.OFFT.GG.CD,2020,24876000.1
11,99,Ghana,African Dev. Bank         ,"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,2020,25788459.1
12,104,Ghana,African Dev. Bank         ,"OPS, multilateral (TDS, current US$)",DT.TDS.MLAT.OPS.CD,2020,912459.0
13,106,Ghana,African Dev. Bank         ,"OPS, official creditors (TDS, current US$)",DT.TDS.OFFT.OPS.CD,2020,912459.0
14,117,Ghana,African Dev. Bank         ,"PPG, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.CD,2020,24876000.1
15,118,Ghana,African Dev. Bank         ,"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD,2020,25788459.1
16,134,Ghana,African Dev. Bank         ,"PS, multilateral (TDS, current US$)",DT.TDS.MLAT.PS.CD,2020,25788459.1
17,135,Ghana,African Dev. Bank         ,"PS, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.PS.CD,2020,24876000.1
18,136,Ghana,African Dev. Bank         ,"PS, official creditors (TDS, current US$)",DT.TDS.OFFT.PS.CD,2020,25788459.1
19,700,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2020,485638.1
20,706,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"CB, multilateral (TDS, current US$)",DT.TDS.MLAT.CB.CD,2020,246000.0
21,707,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"CB, official creditors (TDS, current US$)",DT.TDS.OFFT.CB.CD,2020,246000.0
22,710,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"Debt service on external debt, central bank (PPG) (TDS, current US$)",DT.TDS.DECB.CD,2020,246000.0
23,711,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,2020,3373138.1
24,712,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,2020,3619138.1
25,716,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,2020,3619138.1
26,717,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,2020,3619138.1
27,718,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2020,3619138.1
28,723,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"GG, multilateral (TDS, current US$)",DT.TDS.MLAT.GG.CD,2020,3373138.1
29,724,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"GG, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.GG.CD,2020,1338000.0
30,725,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"GG, official creditors (TDS, current US$)",DT.TDS.OFFT.GG.CD,2020,3373138.1
31,729,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"Multilateral debt service (TDS, current US$)",DT.TDS.MLAT.CD,2020,3619138.1
32,747,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"PPG, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.CD,2020,1338000.0
33,748,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD,2020,3619138.1
34,764,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"PS, multilateral (TDS, current US$)",DT.TDS.MLAT.PS.CD,2020,3619138.1
35,765,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"PS, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.PS.CD,2020,1338000.0
36,766,Ghana,Arab Bank for Economic Dev. in Africa (BADEA),"PS, official creditors (TDS, current US$)",DT.TDS.OFFT.PS.CD,2020,3619138.1
37,1610,Ghana,Austria,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,2020,3207007.0
38,1621,Ghana,Austria,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",DT.TDS.DEGG.CD,2020,22820263.1
39,1622,Ghana,Austria,"Debt service on external debt, long-term (TDS, current US$)",DT.TDS.DLXF.CD,2020,22820263.1
40,1626,Ghana,Austria,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,2020,22820263.1
41,1627,Ghana,Austria,"Debt service on external debt, public sector (PPG) (TDS, current US$)",DT.TDS.DEPS.CD,2020,22820263.1
42,1628,Ghana,Austria,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,2020,22820263.1
43,1629,Ghana,Austria,"GG, bilateral (TDS, current US$)",DT.TDS.BLAT.GG.CD,2020,982806.3
44,1630,Ghana,Austria,"GG, bilateral concessional (TDS, current US$)",DT.TDS.BLTC.GG.CD,2020,982806.3
