,index,Series,Year,Value,Country
2,AFG,General Government Debt (% of GDP),2022,,Afghanistan
4,AGO,General Government Debt (% of GDP),2022,67.0,Angola
5,ALB,General Government Debt (% of GDP),2022,67.6,Albania
9,ARG,General Government Debt (% of GDP),2022,84.5,Argentina
10,ARM,General Government Debt (% of GDP),2022,49.3,Armenia
12,ATG,General Government Debt (% of GDP),2022,90.6,Antigua and Barbuda
15,AZE,General Government Debt (% of GDP),2022,20.7,Azerbaijan
17,BDI,General Government Debt (% of GDP),2022,68.3,Burundi
19,BEN,General Government Debt (% of GDP),2022,52.4,Benin
20,BFA,General Government Debt (% of GDP),2022,54.3,Burkina Faso
21,BGD,General Government Debt (% of GDP),2022,39.1,Bangladesh
25,BIH,General Government Debt (% of GDP),2022,29.6,Bosnia and Herzegovina
26,BLR,General Government Debt (% of GDP),2022,39.8,Belarus
27,BLZ,General Government Debt (% of GDP),2022,64.1,Belize
28,BOL,General Government Debt (% of GDP),2022,82.6,Bolivia
29,BRA,General Government Debt (% of GDP),2022,85.9,Brazil
32,BTN,General Government Debt (% of GDP),2022,124.8,Bhutan
33,BWA,General Government Debt (% of GDP),2022,19.9,Botswana
34,CAF,General Government Debt (% of GDP),2022,50.7,Central African Republic
40,CHN,General Government Debt (% of GDP),2022,77.1,China (People's Republic of)
41,CIV,General Government Debt (% of GDP),2022,56.8,Côte d'Ivoire
43,CMR,General Government Debt (% of GDP),2022,46.4,Cameroon
44,COD,General Government Debt (% of GDP),2022,14.6,Democratic Republic of the Congo
45,COG,General Government Debt (% of GDP),2022,99.6,Congo
46,COL,General Government Debt (% of GDP),2022,63.6,Colombia
47,COM,General Government Debt (% of GDP),2022,29.1,Comoros
48,CPV,General Government Debt (% of GDP),2022,127.4,Cabo Verde
49,CRI,General Government Debt (% of GDP),2022,63.8,Costa Rica
54,DJI,General Government Debt (% of GDP),2022,40.6,Djibouti
55,DMA,General Government Debt (% of GDP),2022,104.8,Dominica
57,DOM,General Government Debt (% of GDP),2022,58.9,Dominican Republic
58,DZA,General Government Debt (% of GDP),2022,52.4,Algeria
60,ECU,General Government Debt (% of GDP),2022,57.3,Ecuador
63,EGY,General Government Debt (% of GDP),2022,88.5,Egypt
64,ERI,General Government Debt (% of GDP),2022,163.8,Eritrea
67,ETH,General Government Debt (% of GDP),2022,46.4,Ethiopia
72,FJI,General Government Debt (% of GDP),2022,92.8,Fiji
74,FSM,General Government Debt (% of GDP),2022,14.0,Micronesia
75,GAB,General Government Debt (% of GDP),2022,55.1,Gabon
77,GEO,General Government Debt (% of GDP),2022,39.8,Georgia
78,GHA,General Government Debt (% of GDP),2022,88.8,Ghana
79,GIN,General Government Debt (% of GDP),2022,33.4,Guinea
80,GMB,General Government Debt (% of GDP),2022,84.0,Gambia
81,GNB,General Government Debt (% of GDP),2022,79.5,Guinea-Bissau
82,GNQ,General Government Debt (% of GDP),2022,27.1,Equatorial Guinea
84,GRD,General Government Debt (% of GDP),2022,64.5,Grenada
85,GTM,General Government Debt (% of GDP),2022,30.1,Guatemala
86,GUY,General Government Debt (% of GDP),2022,27.8,Guyana
88,HND,General Government Debt (% of GDP),2022,50.0,Honduras
90,HTI,General Government Debt (% of GDP),2022,25.0,Haiti
92,IDN,General Government Debt (% of GDP),2022,39.9,Indonesia
93,IND,General Government Debt (% of GDP),2022,83.1,India
95,IRN,General Government Debt (% of GDP),2022,34.0,Iran
96,IRQ,General Government Debt (% of GDP),2022,43.3,Iraq
100,JAM,General Government Debt (% of GDP),2022,84.1,Jamaica
101,JOR,General Government Debt (% of GDP),2022,89.4,Jordan
103,KAZ,General Government Debt (% of GDP),2022,23.5,Kazakhstan
104,KEN,General Government Debt (% of GDP),2022,67.9,Kenya
105,KGZ,General Government Debt (% of GDP),2022,53.5,Kyrgyzstan
106,KHM,General Government Debt (% of GDP),2022,36.5,Cambodia
107,KIR,General Government Debt (% of GDP),2022,15.2,Kiribati
111,LAO,General Government Debt (% of GDP),2022,128.5,Lao People's Democratic Republic
112,LBN,General Government Debt (% of GDP),2022,,Lebanon
113,LBR,General Government Debt (% of GDP),2022,55.4,Liberia
114,LCA,General Government Debt (% of GDP),2022,83.5,Saint Lucia
115,LKA,General Government Debt (% of GDP),2022,117.7,Sri Lanka
116,LSO,General Government Debt (% of GDP),2022,57.9,Lesotho
122,MAR,General Government Debt (% of GDP),2022,68.8,Morocco
123,MDA,General Government Debt (% of GDP),2022,33.5,Moldova
124,MDG,General Government Debt (% of GDP),2022,57.0,Madagascar
125,MDV,General Government Debt (% of GDP),2022,114.9,Maldives
128,MEX,General Government Debt (% of GDP),2022,56.0,Mexico
129,MHL,General Government Debt (% of GDP),2022,21.2,Marshall Islands
130,MKD,General Government Debt (% of GDP),2022,51.8,North Macedonia
131,MLI,General Government Debt (% of GDP),2022,53.2,Mali
133,MMR,General Government Debt (% of GDP),2022,63.9,Myanmar
134,MNE,General Government Debt (% of GDP),2022,71.2,Montenegro
135,MNG,General Government Debt (% of GDP),2022,82.4,Mongolia
136,MOZ,General Government Debt (% of GDP),2022,104.5,Mozambique
137,MRT,General Government Debt (% of GDP),2022,47.7,Mauritania
138,MUS,General Government Debt (% of GDP),2022,80.9,Mauritius
139,MWI,General Government Debt (% of GDP),2022,70.1,Malawi
140,MYS,General Government Debt (% of GDP),2022,66.3,Malaysia
141,NAM,General Government Debt (% of GDP),2022,71.3,Namibia
143,NER,General Government Debt (% of GDP),2022,51.1,Niger
144,NGA,General Government Debt (% of GDP),2022,38.0,Nigeria
145,NIC,General Government Debt (% of GDP),2022,46.0,Nicaragua
149,NPL,General Government Debt (% of GDP),2022,43.8,Nepal
150,NRU,General Government Debt (% of GDP),2022,24.3,Nauru
155,PAK,General Government Debt (% of GDP),2022,75.8,Pakistan
156,PAN,General Government Debt (% of GDP),2022,54.9,Panama
157,PER,General Government Debt (% of GDP),2022,33.4,Peru
158,PHL,General Government Debt (% of GDP),2022,57.5,Philippines
160,PNG,General Government Debt (% of GDP),2022,49.2,Papua New Guinea
164,PRY,General Government Debt (% of GDP),2022,40.9,Paraguay
168,RWA,General Government Debt (% of GDP),2022,64.4,Rwanda
171,SDN,General Government Debt (% of GDP),2022,127.6,Sudan
172,SEN,General Government Debt (% of GDP),2022,75.0,Senegal
175,SLB,General Government Debt (% of GDP),2022,16.9,Solomon Islands
176,SLE,General Government Debt (% of GDP),2022,98.8,Sierra Leone
177,SLV,General Government Debt (% of GDP),2022,77.2,El Salvador
180,SRB,General Government Debt (% of GDP),2022,53.5,Serbia
182,SSD,General Government Debt (% of GDP),2022,39.6,South Sudan
184,STP,General Government Debt (% of GDP),2022,58.1,Sao Tome and Principe
185,SUR,General Government Debt (% of GDP),2022,123.2,Suriname
189,SWZ,General Government Debt (% of GDP),2022,45.4,Eswatini
191,SYR,General Government Debt (% of GDP),2022,,Syrian Arab Republic
192,TCD,General Government Debt (% of GDP),2022,50.4,Chad
193,TGO,General Government Debt (% of GDP),2022,68.0,Togo
194,THA,General Government Debt (% of GDP),2022,60.5,Thailand
195,TJK,General Government Debt (% of GDP),2022,34.6,Tajikistan
196,TKM,General Government Debt (% of GDP),2022,5.2,Turkmenistan
197,TLS,General Government Debt (% of GDP),2022,7.5,Timor-Leste
198,TON,General Government Debt (% of GDP),2022,46.6,Tonga
200,TUN,General Government Debt (% of GDP),2022,79.4,Tunisia
201,TUR,General Government Debt (% of GDP),2022,31.2,Türkiye
202,TUV,General Government Debt (% of GDP),2022,7.6,Tuvalu
204,TZA,General Government Debt (% of GDP),2022,41.6,Tanzania
205,UGA,General Government Debt (% of GDP),2022,50.8,Uganda
206,UKR,General Government Debt (% of GDP),2022,81.7,Ukraine
210,UZB,General Government Debt (% of GDP),2022,34.3,Uzbekistan
211,VCT,General Government Debt (% of GDP),2022,86.8,Saint Vincent and the Grenadines
212,VEN,General Government Debt (% of GDP),2022,157.8,Venezuela
213,VNM,General Government Debt (% of GDP),2022,37.1,Viet Nam
214,VUT,General Government Debt (% of GDP),2022,45.8,Vanuatu
219,WSM,General Government Debt (% of GDP),2022,43.7,Samoa
220,YEM,General Government Debt (% of GDP),2022,73.5,Yemen
221,ZAF,General Government Debt (% of GDP),2022,71.0,South Africa
222,ZMB,General Government Debt (% of GDP),2022,,Zambia
223,ZWE,General Government Debt (% of GDP),2022,92.8,Zimbabwe
226,AFG,Real GDP Growth (in %),2022,,Afghanistan
228,AGO,Real GDP Growth (in %),2022,2.8,Angola
229,ALB,Real GDP Growth (in %),2022,3.7,Albania
233,ARG,Real GDP Growth (in %),2022,5.2,Argentina
234,ARM,Real GDP Growth (in %),2022,12.6,Armenia
236,ATG,Real GDP Growth (in %),2022,6.4,Antigua and Barbuda
239,AZE,Real GDP Growth (in %),2022,4.6,Azerbaijan
241,BDI,Real GDP Growth (in %),2022,1.8,Burundi
243,BEN,Real GDP Growth (in %),2022,6.0,Benin
244,BFA,Real GDP Growth (in %),2022,2.5,Burkina Faso
245,BGD,Real GDP Growth (in %),2022,7.1,Bangladesh
249,BIH,Real GDP Growth (in %),2022,3.8,Bosnia and Herzegovina
250,BLR,Real GDP Growth (in %),2022,-4.7,Belarus
251,BLZ,Real GDP Growth (in %),2022,11.4,Belize
252,BOL,Real GDP Growth (in %),2022,3.2,Bolivia
253,BRA,Real GDP Growth (in %),2022,2.9,Brazil
256,BTN,Real GDP Growth (in %),2022,4.3,Bhutan
257,BWA,Real GDP Growth (in %),2022,6.4,Botswana
258,CAF,Real GDP Growth (in %),2022,0.4,Central African Republic
264,CHN,Real GDP Growth (in %),2022,3.0,China (People's Republic of)
265,CIV,Real GDP Growth (in %),2022,6.7,Côte d'Ivoire
267,CMR,Real GDP Growth (in %),2022,3.4,Cameroon
268,COD,Real GDP Growth (in %),2022,6.6,Democratic Republic of the Congo
269,COG,Real GDP Growth (in %),2022,2.8,Congo
270,COL,Real GDP Growth (in %),2022,7.5,Colombia
271,COM,Real GDP Growth (in %),2022,2.4,Comoros
272,CPV,Real GDP Growth (in %),2022,10.5,Cabo Verde
273,CRI,Real GDP Growth (in %),2022,4.3,Costa Rica
278,DJI,Real GDP Growth (in %),2022,2.5,Djibouti
279,DMA,Real GDP Growth (in %),2022,6.0,Dominica
281,DOM,Real GDP Growth (in %),2022,4.9,Dominican Republic
282,DZA,Real GDP Growth (in %),2022,2.9,Algeria
284,ECU,Real GDP Growth (in %),2022,3.0,Ecuador
287,EGY,Real GDP Growth (in %),2022,6.6,Egypt
288,ERI,Real GDP Growth (in %),2022,2.6,Eritrea
291,ETH,Real GDP Growth (in %),2022,6.4,Ethiopia
296,FJI,Real GDP Growth (in %),2022,14.5,Fiji
298,FSM,Real GDP Growth (in %),2022,-0.6,Micronesia
299,GAB,Real GDP Growth (in %),2022,2.8,Gabon
301,GEO,Real GDP Growth (in %),2022,10.1,Georgia
302,GHA,Real GDP Growth (in %),2022,3.2,Ghana
303,GIN,Real GDP Growth (in %),2022,4.3,Guinea
304,GMB,Real GDP Growth (in %),2022,4.4,Gambia
305,GNB,Real GDP Growth (in %),2022,3.5,Guinea-Bissau
306,GNQ,Real GDP Growth (in %),2022,1.6,Equatorial Guinea
308,GRD,Real GDP Growth (in %),2022,6.0,Grenada
309,GTM,Real GDP Growth (in %),2022,4.0,Guatemala
310,GUY,Real GDP Growth (in %),2022,62.3,Guyana
312,HND,Real GDP Growth (in %),2022,4.0,Honduras
314,HTI,Real GDP Growth (in %),2022,-1.7,Haiti
316,IDN,Real GDP Growth (in %),2022,5.3,Indonesia
317,IND,Real GDP Growth (in %),2022,6.8,India
319,IRN,Real GDP Growth (in %),2022,2.5,Iran
320,IRQ,Real GDP Growth (in %),2022,8.1,Iraq
324,JAM,Real GDP Growth (in %),2022,4.0,Jamaica
325,JOR,Real GDP Growth (in %),2022,2.7,Jordan
327,KAZ,Real GDP Growth (in %),2022,3.2,Kazakhstan
328,KEN,Real GDP Growth (in %),2022,5.4,Kenya
329,KGZ,Real GDP Growth (in %),2022,7.0,Kyrgyzstan
330,KHM,Real GDP Growth (in %),2022,5.0,Cambodia
331,KIR,Real GDP Growth (in %),2022,1.2,Kiribati
335,LAO,Real GDP Growth (in %),2022,2.3,Lao People's Democratic Republic
336,LBN,Real GDP Growth (in %),2022,,Lebanon
337,LBR,Real GDP Growth (in %),2022,4.8,Liberia
338,LBY,Real GDP Growth (in %),2022,-12.8,Libya
339,LCA,Real GDP Growth (in %),2022,14.9,Saint Lucia
340,LKA,Real GDP Growth (in %),2022,-8.7,Sri Lanka
341,LSO,Real GDP Growth (in %),2022,2.1,Lesotho
347,MAR,Real GDP Growth (in %),2022,1.1,Morocco
348,MDA,Real GDP Growth (in %),2022,-5.6,Moldova
349,MDG,Real GDP Growth (in %),2022,4.2,Madagascar
350,MDV,Real GDP Growth (in %),2022,12.3,Maldives
353,MEX,Real GDP Growth (in %),2022,3.1,Mexico
354,MHL,Real GDP Growth (in %),2022,1.3,Marshall Islands
355,MKD,Real GDP Growth (in %),2022,2.2,North Macedonia
356,MLI,Real GDP Growth (in %),2022,3.7,Mali
358,MMR,Real GDP Growth (in %),2022,2.0,Myanmar
359,MNE,Real GDP Growth (in %),2022,6.4,Montenegro
360,MNG,Real GDP Growth (in %),2022,4.8,Mongolia
361,MOZ,Real GDP Growth (in %),2022,4.1,Mozambique
362,MRT,Real GDP Growth (in %),2022,5.0,Mauritania
363,MUS,Real GDP Growth (in %),2022,8.3,Mauritius
364,MWI,Real GDP Growth (in %),2022,0.8,Malawi
365,MYS,Real GDP Growth (in %),2022,8.7,Malaysia
366,NAM,Real GDP Growth (in %),2022,3.8,Namibia
368,NER,Real GDP Growth (in %),2022,11.1,Niger
369,NGA,Real GDP Growth (in %),2022,3.3,Nigeria
370,NIC,Real GDP Growth (in %),2022,4.0,Nicaragua
374,NPL,Real GDP Growth (in %),2022,5.8,Nepal
375,NRU,Real GDP Growth (in %),2022,3.0,Nauru
380,PAK,Real GDP Growth (in %),2022,6.0,Pakistan
381,PAN,Real GDP Growth (in %),2022,10.0,Panama
382,PER,Real GDP Growth (in %),2022,2.7,Peru
383,PHL,Real GDP Growth (in %),2022,7.6,Philippines
385,PLW,Real GDP Growth (in %),2022,-2.9,Palau
386,PNG,Real GDP Growth (in %),2022,4.5,Papua New Guinea
390,PRY,Real GDP Growth (in %),2022,0.2,Paraguay
394,RWA,Real GDP Growth (in %),2022,6.8,Rwanda
397,SDN,Real GDP Growth (in %),2022,-2.5,Sudan
398,SEN,Real GDP Growth (in %),2022,4.7,Senegal
401,SLB,Real GDP Growth (in %),2022,-4.1,Solomon Islands
402,SLE,Real GDP Growth (in %),2022,2.8,Sierra Leone
403,SLV,Real GDP Growth (in %),2022,2.8,El Salvador
406,SOM,Real GDP Growth (in %),2022,1.7,Somalia
407,SRB,Real GDP Growth (in %),2022,2.3,Serbia
409,SSD,Real GDP Growth (in %),2022,6.6,South Sudan
411,STP,Real GDP Growth (in %),2022,0.9,Sao Tome and Principe
412,SUR,Real GDP Growth (in %),2022,1.3,Suriname
416,SWZ,Real GDP Growth (in %),2022,0.5,Eswatini
418,SYR,Real GDP Growth (in %),2022,,Syrian Arab Republic
419,TCD,Real GDP Growth (in %),2022,2.5,Chad
420,TGO,Real GDP Growth (in %),2022,5.4,Togo
421,THA,Real GDP Growth (in %),2022,2.6,Thailand
422,TJK,Real GDP Growth (in %),2022,8.0,Tajikistan
423,TKM,Real GDP Growth (in %),2022,1.8,Turkmenistan
424,TLS,Real GDP Growth (in %),2022,3.3,Timor-Leste
425,TON,Real GDP Growth (in %),2022,-2.0,Tonga
427,TUN,Real GDP Growth (in %),2022,2.5,Tunisia
428,TUR,Real GDP Growth (in %),2022,5.6,Türkiye
429,TUV,Real GDP Growth (in %),2022,0.7,Tuvalu
431,TZA,Real GDP Growth (in %),2022,4.7,Tanzania
432,UGA,Real GDP Growth (in %),2022,4.9,Uganda
433,UKR,Real GDP Growth (in %),2022,-30.3,Ukraine
437,UZB,Real GDP Growth (in %),2022,5.7,Uzbekistan
438,VCT,Real GDP Growth (in %),2022,5.3,Saint Vincent and the Grenadines
439,VEN,Real GDP Growth (in %),2022,8.0,Venezuela
440,VNM,Real GDP Growth (in %),2022,8.0,Viet Nam
441,VUT,Real GDP Growth (in %),2022,1.9,Vanuatu
447,WSM,Real GDP Growth (in %),2022,-6.0,Samoa
448,YEM,Real GDP Growth (in %),2022,1.5,Yemen
449,ZAF,Real GDP Growth (in %),2022,2.0,South Africa
450,ZMB,Real GDP Growth (in %),2022,3.4,Zambia
451,ZWE,Real GDP Growth (in %),2022,3.0,Zimbabwe
